classname,classoutline,teacher,test,remote,homework,numofunits,when,semester,unitclass,keyword
画像認識特論MI,"画像認識とは、コンピュータを用いて画像データから文字や顔などのオブジェクトや、対象物の形状や数、明暗、色などの特徴
を捉え、対象物を識別するパターン認識技術の一つである。
深層学習の登場により人工知能（ AI ）の計算能力が飛躍的に向上し、音声認識からデータ分析、画像認識など、様々な分野で進
展している。特に画像認識は AI により大きく発展した分野の代表例である。本講義では画像認識について、基礎から応用につい
て講義する。具体的には、深層学習が主流となる以前のアルゴリズムや近年の深層学習を用いたアルゴリズム、画像認識の活用
事例について教授する。画像認識に関連する論文読みや演習を課す。",齊藤　剛史,no,no,4,2,"木曜  3 限 , 木曜  4 限",第 2 クォーター,選必,画像認識、画像処理、パターン認識、深層学習
知能情報概論,"本講義は，知的情報処理に関する最新のトピックを幅広く学ぶための講義である．知能分野の 3 コースであるデータ科学，人工
知能，メディア情報学コースの各分野における特色ある研究や最新の成果がどのような分野で活用されているかを，実例を通し
て学ぶ．",本田　あおい,no,no,4,1,,第 1 クォーター,選,データ科学，人工知能，メディア情報学
知能情報演習AI,"本演習は、データ科学、 AI 、メディア情報に関する PBL 型総合演習である。履修生を複数名から構成されるグループに分け、各
グループで実践的な課題および課題解決のための計画を設計させる。グループワークとして課題解決に取り組み、コンペ形式で
各グループの成果物について発表させ、教員のみでなく学生による相互評価を踏まえつつ評価する。この課題解決への取り組み
を通して、知能情報分野における実践的な課題探求能力と課題解決能力を育成する。",嶋田　和孝,no,no,4,1,"木曜  1 限 , 木曜  2 限",第 3 クォーター,選必,2/2データ科学、人工知能、メディア情報学、 PBL 演習
知能情報演習DS,"本演習は、データ科学、 AI 、メディア情報に関する PBL 型総合演習である。履修生を複数名から構成されるグループに分け、各
グループで実践的な課題および課題解決のための計画を設計させる。グループワークとして課題解決に取り組み、コンペ形式で
各グループの成果物について発表させ、教員のみでなく学生による相互評価を踏まえつつ評価する。この課題解決への取り組み
を通して、知能情報分野における実践的な課題探求能力と課題解決能力を育成する。",嶋田　和孝,no,no,4,1,"木曜  1 限 , 木曜  2 限",第 3 クォーター,選必,2/2データ科学、人工知能、メディア情報学、 PBL 演習
知能情報演習MI,"本演習は、データ科学、 AI 、メディア情報に関する PBL 型総合演習である。履修生を複数名から構成されるグループに分け、各
グループで実践的な課題および課題解決のための計画を設計させる。グループワークとして課題解決に取り組み、コンペ形式で
各グループの成果物について発表させ、教員のみでなく学生による相互評価を踏まえつつ評価する。この課題解決への取り組み
を通して、知能情報分野における実践的な課題探求能力と課題解決能力を育成する。",嶋田　和孝,no,no,4,1,"木曜  1 限 , 木曜  2 限",第 3 クォーター,選必,2/2データ科学、人工知能、メディア情報学、 PBL 演習
算法表現特論AI,"知的情報処理を実現するためのアルゴリズムで必要となる制御構造，手続き，および，データ構造の表現を理解し，人工知能の
対象領域であるゲームプログラミングを題材として，様々なゲーム木探索法と探索の効率化手法を学ぶ．",中村　貞吾,no,no,4,2,"月曜  5 限 , 木曜  4 限",第 1 クォーター,選必,αβ探索，トランスポジションテーブル，反復深化法，証明数探索，モンテカルロ木探索
算法表現特論DS,"知的情報処理を実現するためのアルゴリズムで必要となる制御構造，手続き，および，データ構造の表現を理解し，人工知能の
対象領域であるゲームプログラミングを題材として，様々なゲーム木探索法と探索の効率化手法を学ぶ．",中村　貞吾,no,no,4,2,"月曜  5 限 , 木曜  4 限",第 1 クォーター,選必,αβ探索，トランスポジションテーブル，反復深化法，証明数探索，モンテカルロ木探索
算法表現特論MI,"知的情報処理を実現するためのアルゴリズムで必要となる制御構造，手続き，および，データ構造の表現を理解し，人工知能の
対象領域であるゲームプログラミングを題材として，様々なゲーム木探索法と探索の効率化手法を学ぶ．",中村　貞吾,no,no,4,2,"月曜  5 限 , 木曜  4 限",第 1 クォーター,選必,αβ探索，トランスポジションテーブル，反復深化法，証明数探索，モンテカルロ木探索
経営戦略特論,"産業や社会のデジタルトランスフォーメーション（ＤＸ）が進み、世界がフラット化する環境において、企業は将来に渡る経営
戦略を再検討する時期が来ている。本講義では、様々な業種から講師を招き、ＤＸ時代にどのような課題や問題を発見し、どの
ような経営戦略や人材育成戦略を掲げて、それらを解決していこうとしているか等の企業の戦略に触れる。
それらに基づいて、高度情報技術者として生み出すべきものは何か、そのためにはどのような技術開発が必要とされているか等
について、学習する。
授業はオムニバス形式で、各回に以下のテーマに基づいて、講義する。
・業界・企業概要の紹介
・経営戦略と人事戦略、人材育成、これからの時代に求められる人材像
・DXの紹介",坂本　比呂志,no,no,4,1,水曜  4 限,第 1 クォーター,選,経営戦略、採用活動、人事戦略、 DX
統計的データ解析特論,"人工知能技術の発展に伴いデータ解析の重要性が増してきたが、近年は技術革新やさらに法整備も進みビッグデータの利活用が
一気に加速している。こららの解析に使われる手法の多くは伝統的な統計手法を基盤としたものが多く、統計学の素養が人工知
能の理解や直感的な発見にもつながり、情報技術者にとって統計学の知識を持つことは大きな強みとなるといえる。本科目で
は、統計における重要な項目、学部科目の数理統計では時間的制約から扱うことのできなかった重要なトピックスや最新のトピ
ックスを講義する。",本田　あおい,no,no,4,2,"月曜  4 限 , 水曜  1 限",第 1 クォーター,選,データサイエンス、ビッグデータ、機械学習、人工知能、ベイズ推論、検定と推定、 SHAP
自然言語処理特論DS,"WWWの普及により電子化された大規模な言語データが存在し，それらを対象とした自然言語処理の重要性が増している。本授
業では，機械学習や統計的手法などに基づく言語処理の基本と要素技術，応用例について教授する。",嶋田　和孝,no,no,4,2,"火曜  2 限 , 金曜  3 限",第 3 クォーター,選必,自然言語処理，コーパス，テキストマイニング
自然言語処理特論MI,"WWWの普及により電子化された大規模な言語データが存在し，それらを対象とした自然言語処理の重要性が増している。本授
業では，機械学習や統計的手法などに基づく言語処理の基本と要素技術，応用例について教授する。",嶋田　和孝,no,no,4,2,"火曜  2 限 , 金曜  3 限",第 3 クォーター,選必,自然言語処理，コーパス，テキストマイニング
高機能メディア工学特論AI,"ディジタル化された文書，写真，映画，音楽などのデジタルコンテンツの流通が急増し，産業への適用が急速に進んでいる現
在，セキュリティ対策やプライバシ保護によるコンテンツの保護や，メディアに依存したコンテンツの統合方法や高付加価値化
が強く求められている．本講義では、メディアに対してセキュリティを実現するひとつのアプローチ，情報ハイディングをベー
スとした種々のメディアセキュリティ技術や、その基礎となるいくつかの暗号技術を取り上げる。さらに、プログラミングによ
り実際に種々のアルゴリズムを実装し、メディア情報処理の基礎技術を身につける。",新見　道治,yes,no,4,2,"水曜  3 限 , 金曜  4 限",第 3 クォーター,選必,ディジタルメディア、コンテンツ保護、セキュリティ、情報ハイディング、暗号、ステガナリシス
高機能メディア工学特論MI,"ディジタル化された文書，写真，映画，音楽などのデジタルコンテンツの流通が急増し，産業への適用が急速に進んでいる現
在，セキュリティ対策やプライバシ保護によるコンテンツの保護や，メディアに依存したコンテンツの統合方法や高付加価値化
が強く求められている．本講義では、メディアに対してセキュリティを実現するひとつのアプローチ，情報ハイディングをベー
スとした種々のメディアセキュリティ技術や、その基礎となるいくつかの暗号技術を取り上げる。さらに、プログラミングによ
り実際に種々のアルゴリズムを実装し、メディア情報処理の基礎技術を身につける。",新見　道治,yes,no,4,2,"水曜  3 限 , 金曜  4 限",第 3 クォーター,選必,ディジタルメディア、コンテンツ保護、セキュリティ、情報ハイディング、暗号、ステガナリシス
